employee_id,date,is_available
E001,2025-05-14,1
E001,2025-05-15,0
E001,2025-05-16,1
E001,2025-05-17,1
E001,2025-05-18,1
E001,2025-05-19,1
E001,2025-05-20,1
E002,2025-05-14,1
E002,2025-05-15,1
E002,2025-05-16,1
E002,2025-05-17,1
E002,2025-05-18,1
E002,2025-05-19,1
E002,2025-05-20,0
E003,2025-05-14,1
E003,2025-05-15,1
E003,2025-05-16,1
E003,2025-05-17,1
E003,2025-05-18,1
E003,2025-05-19,1
E003,2025-05-20,1
E004,2025-05-14,1
E004,2025-05-15,1
E004,2025-05-16,0
E004,2025-05-17,1
E004,2025-05-18,1
E004,2025-05-19,1
E004,2025-05-20,1
E005,2025-05-14,1
E005,2025-05-15,1
E005,2025-05-16,1
E005,2025-05-17,1
E005,2025-05-18,1
E005,2025-05-19,1
E005,2025-05-20,0
E006,2025-05-14,1
E006,2025-05-15,1
E006,2025-05-16,0
E006,2025-05-17,1
E006,2025-05-18,1
E006,2025-05-19,1
E006,2025-05-20,1
E007,2025-05-14,1
E007,2025-05-15,1
E007,2025-05-16,1
E007,2025-05-17,0
E007,2025-05-18,1
E007,2025-05-19,1
E007,2025-05-20,1
E008,2025-05-14,1
E008,2025-05-15,1
E008,2025-05-16,1
E008,2025-05-17,1
E008,2025-05-18,1
E008,2025-05-19,1
E008,2025-05-20,0
E009,2025-05-14,1
E009,2025-05-15,0
E009,2025-05-16,1
E009,2025-05-17,1
E009,2025-05-18,1
E009,2025-05-19,1
E009,2025-05-20,1
E010,2025-05-14,1
E010,2025-05-15,1
E010,2025-05-16,1
E010,2025-05-17,0
E010,2025-05-18,1
E010,2025-05-19,1
E010,2025-05-20,1
E011,2025-05-14,1
E011,2025-05-15,1
E011,2025-05-16,1
E011,2025-05-17,0
E011,2025-05-18,1
E011,2025-05-19,1
E011,2025-05-20,1
E012,2025-05-14,1
E012,2025-05-15,1
E012,2025-05-16,1
E012,2025-05-17,1
E012,2025-05-18,1
E012,2025-05-19,0
E012,2025-05-20,1
E013,2025-05-14,1
E013,2025-05-15,1
E013,2025-05-16,0
E013,2025-05-17,1
E013,2025-05-18,1
E013,2025-05-19,1
E013,2025-05-20,1
E014,2025-05-14,1
E014,2025-05-15,1
E014,2025-05-16,1
E014,2025-05-17,1
E014,2025-05-18,1
E014,2025-05-19,1
E014,2025-05-20,1
E015,2025-05-14,1
E015,2025-05-15,0
E015,2025-05-16,1
E015,2025-05-17,1
E015,2025-05-18,1
E015,2025-05-19,1
E015,2025-05-20,1
E016,2025-05-14,1
E016,2025-05-15,1
E016,2025-05-16,1
E016,2025-05-17,1
E016,2025-05-18,0
E016,2025-05-19,1
E016,2025-05-20,1
E017,2025-05-14,1
E017,2025-05-15,1
E017,2025-05-16,1
E017,2025-05-17,1
E017,2025-05-18,1
E017,2025-05-19,0
E017,2025-05-20,1
E018,2025-05-14,0
E018,2025-05-15,1
E018,2025-05-16,1
E018,2025-05-17,1
E018,2025-05-18,1
E018,2025-05-19,1
E018,2025-05-20,1
E019,2025-05-14,1
E019,2025-05-15,1
E019,2025-05-16,1
E019,2025-05-17,1
E019,2025-05-18,1
E019,2025-05-19,1
E019,2025-05-20,0
E020,2025-05-14,1
E020,2025-05-15,1
E020,2025-05-16,1
E020,2025-05-17,1
E020,2025-05-18,1
E020,2025-05-19,0
E020,2025-05-20,1
E021,2025-05-14,1
E021,2025-05-15,1
E021,2025-05-16,1
E021,2025-05-17,1
E021,2025-05-18,1
E021,2025-05-19,1
E021,2025-05-20,0
E022,2025-05-14,0
E022,2025-05-15,1
E022,2025-05-16,1
E022,2025-05-17,1
E022,2025-05-18,1
E022,2025-05-19,1
E022,2025-05-20,1
E023,2025-05-14,1
E023,2025-05-15,1
E023,2025-05-16,1
E023,2025-05-17,1
E023,2025-05-18,1
E023,2025-05-19,1
E023,2025-05-20,1
E024,2025-05-14,0
E024,2025-05-15,1
E024,2025-05-16,1
E024,2025-05-17,1
E024,2025-05-18,1
E024,2025-05-19,1
E024,2025-05-20,1
E025,2025-05-14,1
E025,2025-05-15,1
E025,2025-05-16,1
E025,2025-05-17,1
E025,2025-05-18,0
E025,2025-05-19,1
E025,2025-05-20,1
E026,2025-05-14,1
E026,2025-05-15,1
E026,2025-05-16,1
E026,2025-05-17,1
E026,2025-05-18,0
E026,2025-05-19,1
E026,2025-05-20,0
E027,2025-05-14,1
E027,2025-05-15,1
E027,2025-05-16,1
E027,2025-05-17,1
E027,2025-05-18,1
E027,2025-05-19,1
E027,2025-05-20,1
E028,2025-05-14,1
E028,2025-05-15,1
E028,2025-05-16,1
E028,2025-05-17,1
E028,2025-05-18,1
E028,2025-05-19,1
E028,2025-05-20,0
E029,2025-05-14,1
E029,2025-05-15,1
E029,2025-05-16,1
E029,2025-05-17,1
E029,2025-05-18,1
E029,2025-05-19,1
E029,2025-05-20,0
E030,2025-05-14,1
E030,2025-05-15,0
E030,2025-05-16,1
E030,2025-05-17,1
E030,2025-05-18,1
E030,2025-05-19,1
E030,2025-05-20,1
E031,2025-05-14,1
E031,2025-05-15,1
E031,2025-05-16,1
E031,2025-05-17,1
E031,2025-05-18,1
E031,2025-05-19,0
E031,2025-05-20,1
E032,2025-05-14,0
E032,2025-05-15,1
E032,2025-05-16,1
E032,2025-05-17,1
E032,2025-05-18,1
E032,2025-05-19,1
E032,2025-05-20,1
E033,2025-05-14,1
E033,2025-05-15,1
E033,2025-05-16,0
E033,2025-05-17,1
E033,2025-05-18,1
E033,2025-05-19,1
E033,2025-05-20,1
E034,2025-05-14,1
E034,2025-05-15,1
E034,2025-05-16,0
E034,2025-05-17,1
E034,2025-05-18,1
E034,2025-05-19,1
E034,2025-05-20,1
E035,2025-05-14,1
E035,2025-05-15,1
E035,2025-05-16,0
E035,2025-05-17,1
E035,2025-05-18,1
E035,2025-05-19,1
E035,2025-05-20,1
E036,2025-05-14,1
E036,2025-05-15,1
E036,2025-05-16,1
E036,2025-05-17,1
E036,2025-05-18,1
E036,2025-05-19,1
E036,2025-05-20,1
E037,2025-05-14,1
E037,2025-05-15,0
E037,2025-05-16,1
E037,2025-05-17,1
E037,2025-05-18,1
E037,2025-05-19,1
E037,2025-05-20,1
E038,2025-05-14,1
E038,2025-05-15,1
E038,2025-05-16,0
E038,2025-05-17,1
E038,2025-05-18,1
E038,2025-05-19,1
E038,2025-05-20,1
E039,2025-05-14,1
E039,2025-05-15,1
E039,2025-05-16,1
E039,2025-05-17,1
